p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
1191 72 769 159
1192 54 768 178
1193 41 737 222
1194 37 670 293
1195 37 574 389
1196 39 460 501
1197 50 355 595
1198 68 234 698
1199 104 163 733
1200 149 128 723
1201 221 114 665
1202 311 109 580
1203 409 115 476
1204 478 131 391
1205 538 167 295
1206 535 228 237
1207 443 302 255
1208 330 429 241
1209 225 556 219
1210 147 666 187
1211 98 738 164
1212 67 771 162
1213 49 766 185
1214 36 723 241
1215 32 662 306
1216 35 539 426
1217 42 409 549
1218 56 292 652
1219 74 206 720
1220 120 155 725
1221 174 114 712
1222 236 103 661
1223 342 102 556
1224 451 119 430
1225 531 140 329
1226 557 177 266
1227 507 237 256
1228 423 338 239
1229 306 463 231
1230 205 591 204
1231 130 693 177
1232 88 751 161
1233 64 772 164
1234 44 759 197
1235 39 719 242
1236 32 623 345
1237 32 505 463
1238 47 377 576
1239 66 260 674
1240 94 183 723
1241 129 134 737
1242 184 112 704
1243 277 97 626
1244 373 100 527
1245 472 122 406
1246 543 151 306
1247 539 197 264
1248 485 278 237
1249 382 381 237
1250 274 506 220
1251 179 629 192
1252 112 721 167
1253 78 766 156
1254 49 771 180
1255 36 754 210
1256 28 686 286
1257 34 591 375
1258 43 460 497
1259 51 328 621
1260 73 228 699
1261 104 161 735
1262 140 125 735
1263 215 106 679
1264 294 99 607
1265 403 115 482
1266 483 137 380
1267 526 189 285
1268 508 246 246
1269 425 331 244
1270 316 450 234
1271 222 578 200
1272 146 679 175
1273 91 739 170
1274 62 772 166
1275 59 749 192
1276 47 695 258
1277 37 622 341
1278 40 513 447
1279 46 382 572
1280 62 275 663
1281 77 199 724
1282 124 151 725
1283 169 127 704
1284 243 136 621
1285 334 135 531
1286 422 153 425
1287 474 196 330
1288 458 251 291
1289 408 343 249
1290 322 441 237
1291 227 551 222
1292 156 637 207
1293 102 709 189
1294 61 745 194
1295 49 743 208
1296 38 700 262
1297 44 619 337
1298 43 515 442
1299 55 406 539
1300 72 308 620
1301 98 219 683
1302 144 157 699
1303 189 113 698
1304 267 111 622
1305 349 114 537
1306 432 136 432
1307 504 162 334
1308 523 188 289
1309 486 258 256
1310 417 357 226
1311 303 470 227
1312 204 586 210
1313 121 682 197
1314 72 743 185
1315 55 766 179
1316 27 757 216
1317 28 715 257
1318 30 615 355
1319 40 500 460
1320 55 374 571
1321 77 263 660
1322 104 180 716
1323 138 130 732
1324 195 105 700
1325 284 90 626
1326 373 101 526
1327 454 127 419
1328 511 172 317
1329 511 226 263
1330 443 309 248
1331 345 427 228
1332 263 550 187
1333 171 647 182
1334 107 728 165
1335 59 766 175
1336 47 769 184
1337 34 727 239
1338 30 657 313
1339 18 543 439
1340 33 432 535
1341 45 320 635
1342 73 227 700
1343 116 161 723
1344 168 115 717
1345 242 105 653
1346 346 101 553
1347 438 111 451
1348 509 130 361
1349 547 171 282
1350 547 226 227
1351 488 292 220
1352 386 397 217
1353 279 509 212
1354 177 620 203
1355 115 712 173
1356 63 755 182
1357 50 766 184
1358 34 724 242
1359 27 674 299
1360 26 576 398
1361 38 465 497
1362 56 342 602
1363 83 232 685
1364 115 162 723
1365 163 119 718
1366 214 113 673
1367 303 112 585
1368 384 121 495
1369 472 151 377
1370 517 186 297
1371 495 251 254
1372 422 343 235
1373 310 459 231
1374 199 577 224
1375 129 689 182
1376 90 750 160
1377 41 759 200
1378 26 773 201
1379 19 723 258
1380 33 638 329
1381 43 508 449
1382 56 380 564
1383 69 255 676
